Regione,Anno,totale incidenti,autovettura privata,autov. priv. con rimorchio, autovettura pubblica,autov. soccorso o polizia,autobus o filobus servizio urbano,autobus servizio extra-urbano,tram,autocarro,autotreno con rimorchio,autosnodato autoarticolato,veicoli speciali,trattore stradale o motrice,trattore agricolo,velocipede,ciclomotore,motociclo a solo,motociclo con passeggero,motocarro o motofurgone,veicolo trazione animale o braccia,veicolo ignoto datosi alla fuga,quadriciclo leggero,altri veicoli,totale veicoli coinvolti,
Emilia Romagna,2015,17385,21439,10,48,58,103,78,0,2105,46,257,121,168,42,3324,1209,2606,268,10,1,202,41,639,32775,
Italia Settentrionale,2015,90448,107778,42,483,425,802,553,109,9567,207,960,666,769,194,12770,6168,18966,2125,96,10,1008,213,2902,166813,
Toscana,2015,15863,18729,24,72,80,107,100,8,1428,21,131,87,94,23,1763,1947,3950,403,56,9,70,111,425,29638,
Umbria,2015,2285,3092,6,3,9,12,15,0,229,6,28,15,23,3,140,200,230,33,8,0,11,5,81,4149,
Marche,2015,5333,6923,1,9,9,16,27,0,551,15,40,27,28,12,471,495,861,100,6,0,35,17,148,9791,
Lazio,2015,20227,25683,6,303,183,120,195,29,1698,23,96,156,87,19,568,806,6222,707,19,2,185,103,920,38130,
Italia Centrale,2015,43708,54427,37,387,281,255,337,37,3906,65,295,285,232,57,2942,3448,11263,1243,89,11,301,236,1574,81708,
Abruzzo,2015,3217,4442,4,6,15,11,37,0,334,5,23,17,18,7,234,233,442,54,7,0,19,7,98,6013,
Molise,2015,461,632,0,0,3,3,3,0,53,0,7,2,5,4,11,23,41,4,2,0,0,0,13,806,
Campania,2015,9111,11530,8,34,64,49,57,0,631,15,69,51,54,18,298,593,2383,626,45,3,111,26,249,16914,
Puglia,2015,9524,13949,12,13,56,41,47,1,666,23,55,40,43,41,504,570,1226,290,57,0,26,15,229,17904,
Basilicata,2015,936,1216,0,0,6,4,12,0,99,2,10,7,5,5,24,28,82,24,6,0,11,7,15,1563,
Calabria,2015,2733,3927,2,2,20,10,15,0,240,4,24,16,16,8,89,123,315,59,14,0,4,14,70,4972,
Sicilia,2015,10864,13489,10,35,84,75,46,3,781,19,41,30,44,12,442,1124,2646,545,41,7,117,61,228,19880,
Sardegna,2015,3537,5080,2,2,13,14,13,1,250,2,11,20,16,10,123,179,483,64,14,0,6,11,94,6408,
Italia Meridionale e Insulare,2015,40383,54265,38,92,261,207,230,5,3054,70,240,183,201,105,1725,2873,7618,1666,186,10,294,141,996,74460,
Totale 2015,2015,174539,216470,117,962,967,1264,1120,151,16527,342,1495,1134,1202,356,17437,12489,37847,5034,371,31,1603,590,5472,322981,
Piemonte,2016,10905,14776,8,51,77,99,80,40,1155,32,103,89,85,40,1059,320,1385,167,3,1,62,28,0,19660,
Valle d'Aosta,2016,285,376,0,1,2,0,1,0,23,0,2,0,5,1,20,16,46,3,1,0,0,0,0,497,
Lombardia,2016,32785,39815,12,318,196,151,157,87,3393,59,254,202,262,60,4403,2037,6979,691,20,1,463,92,0,59652,
Prov.Autonoma di Bolzano,2016,1744,1898,2,5,6,27,23,0,199,4,28,17,19,17,365,93,380,28,0,1,5,5,0,3122,
Prov.Autonoma di Trento,2016,1361,1666,1,4,2,6,17,0,130,5,9,9,24,15,174,64,298,41,4,0,5,3,0,2477,
Trentino Alto Adige,2016,3105,3564,3,9,8,33,40,0,329,9,37,26,43,32,539,157,678,69,4,1,10,8,0,5599,
Veneto,2016,14034,17346,9,26,32,48,85,9,1480,37,205,95,146,48,2526,996,2318,294,3,1,107,31,0,25842,
Friuli Venezia Giulia,2016,3455,4156,6,9,10,32,18,2,291,4,28,22,43,9,477,162,708,83,6,0,25,4,0,6095,
Liguria,2016,8282,7157,6,30,38,371,53,0,725,6,65,65,71,3,346,621,3905,499,22,1,89,18,0,14091,
